Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Gender	Age	Phases	Enrollment	Study Type	Start Date	Locations	URL
48	NCT03786432	Prospective Study of Fusion Rates Using Spira-C Device for Anterior Cervical Discectomy and Fusion Surgery	Recruiting	No Results Available	Cervical Radiculopathy|Cervical Disc Disease	Device: Spira-C Interbody Device	All	18 Years and older   (Adult, Older Adult)	Not Applicable	40	Interventional	January 10, 2019	William Beaumont Hospital, Royal Oak, Michigan, United States	https://ClinicalTrials.gov/show/NCT03786432
49	NCT03783767	Peer Leadership for Physical Literacy	Recruiting	No Results Available	Leadership|Physical Activity	Behavioral: Leadership Intervention	All	8 Years to 14 Years   (Child)	Not Applicable	1344	Interventional	January 7, 2019	Psychology of Exercise, Health, and Physical Activity Laboratory, Vancouver, British Columbia, Canada	https://ClinicalTrials.gov/show/NCT03783767
50	NCT03783312	Effects of Preemptive Paracetamol and Ibuprofen on Headache and Myalgia in Patients After Electroconvulsive Therapy	Enrolling by invitation	No Results Available	Postoperative Pain|Myalgia|Headache	Drug: placebo|Drug: paracetamol|Drug: ibuprofen	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	60	Interventional	December 20, 2018	Erol Karaaslan, Malatya, Türkiye-Türkçe, Turkey	https://ClinicalTrials.gov/show/NCT03783312
51	NCT03783299	Targeted Active Case Detection Among High Risk Populations in Southern Lao Peoples Democratic Republic	Enrolling by invitation	No Results Available	Plasmodium Falciparum Malaria	Diagnostic Test: Standard RDT and HS-RDT|Drug: Artemether-lumefantrine|Drug: Primaquine Phosphate	All	18 Months and older   (Child, Adult, Older Adult)	Phase 4	85000	Interventional	November 28, 2017	University of California, San Francisco, San Francisco, California, United States|Centre for Marialogy, Parasitology, and Entomology, Vientiane, Lao People's Democratic Republic	https://ClinicalTrials.gov/show/NCT03783299
52	NCT03782974	A Follow-up Trial of Proglucamune® in the Treatment of Protective Qi Insufficiency, a TCM Condition	Recruiting	No Results Available	Protective Qi Insufficiency (a Condition Term From TCM)	Dietary Supplement: beta glucan	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	130	Interventional	January 6, 2019	Elegant And Olive Health Clinic, Markham, Ontario, Canada	https://ClinicalTrials.gov/show/NCT03782974
53	NCT03781050	Efficacy of Rapamycin (Sirolimus) in the Treatment of Peutz-Jeghers Syndrome	Recruiting	No Results Available	Peutz-Jeghers Syndrome	Drug: Rapamycin	All	Child, Adult, Older Adult	Phase 4	10	Interventional	September 16, 2018	Peking Union Medical College Hospital, Chinese Academy of Medicine Sciences, Beijing, China/Beijing, China	https://ClinicalTrials.gov/show/NCT03781050
54	NCT03778580	Advanced Glycation Endproducts and Bone Material Strength in T2D Treated With Pyridoxamine	Recruiting	No Results Available	Diabetes Mellitus, Type 2	Dietary Supplement: Pyridoxamine Dihydrochloride|Drug: placebo	Female	65 Years and older   (Older Adult)	Not Applicable	52	Interventional	March 1, 2018	Columbia University Medical Center - Harkness Pavillion, New York, New York, United States	https://ClinicalTrials.gov/show/NCT03778580
55	NCT03773575	Evaluation of Closed Incision Negative Pressure Dressing (PREVENA) to Prevent Lower Extremity Amputation Wound Complications	Recruiting	No Results Available	Amputation|Amputation; Postoperative, Sequelae|Wound Dehiscence|Seroma|Wound Infection, Surgical|Lymph Leakage	Device: PREVENA™ PEEL & PLACE™ Dressing Kit	All	18 Years and older   (Adult, Older Adult)	Not Applicable	440	Interventional	January 15, 2019	Kaleida Health - Buffalo General Medical Center, Buffalo, New York, United States|Upstate University Hospital, Syracuse, New York, United States|Westchester Medical Center, Valhalla, New York, United States|Abington Hospital, Abington, Pennsylvania, United States|Thomas Jefferson University/Hospital, Philadelphia, Pennsylvania, United States|Gemelli Hospital, Roma, RM, Italy	https://ClinicalTrials.gov/show/NCT03773575
56	NCT03771495	The Immediate Effects of Passive Hip Joint Mobilization on Hip Muscle Strength in Patients With Anterior Knee Pain	Recruiting	No Results Available	Anterior Knee Pain Syndrome|Patellofemoral Pain Syndrome	Other: Joint Mobilization|Other: Laying on of Hands	All	18 Years to 60 Years   (Adult)	Not Applicable	20	Interventional	December 10, 2018	Praxisgemeinschaft "Bewegungsoase", Vienna, Austria	https://ClinicalTrials.gov/show/NCT03771495
57	NCT03771430	A Multidisciplinary Intervention in Total Knee Arthroplasty	Recruiting	No Results Available	Gonarthrosis; Primary|Degenerative Joint Disease of Knee	Behavioral: Group osteoarthritis education, exercise and CBT|Procedure: Total Knee Arthroplasty	All	18 Years and older   (Adult, Older Adult)	Not Applicable	230	Interventional	January 24, 2019	Haukeland University Hospital - Kysthospitalet Hagevik, Bergen, Norway|Lovisenberg Diaconal Hospital, Oslo, Norway	https://ClinicalTrials.gov/show/NCT03771430
58	NCT03770962	One Plus One Equals Two, Will That do?	Recruiting	No Results Available	Sphincter (Anal); Perineal Rupture, Obstetric|Perineal Tear|Pelvic Floor Disorders|Experience, Life|Second Stage of Labor	Behavioral: Two midwives	Female	18 Years to 47 Years   (Adult)	Not Applicable	2946	Interventional	December 10, 2018	Lund Delivery Ward, SUS Region Skåne, Lund, Skåne, Sweden|Malmö Delivery Ward, SUS Region Skåne, Malmö, Skåne, Sweden|PO Pregnancy and Birth, Karolinska University Hospital, Stockholm, Sweden	https://ClinicalTrials.gov/show/NCT03770962
59	NCT03770507	Gas Exchange Kinetics and Work Load During Exercise	Recruiting	No Results Available	Methods of Exercise in Children	Other: Exercise Training	All	7 Years to 35 Years   (Child, Adult)	Not Applicable	180	Interventional	April 25, 2016	Pediatric Exercise and Genomics Research Center, University of California, Irvine, Irvine, California, United States	https://ClinicalTrials.gov/show/NCT03770507
60	NCT03767660	Efficacy of Rapamycin (Sirolimus) in the Treatment of BRBNS, Hereditary or Sporadic Venous Malformation	Recruiting	No Results Available	Blue Rubber Bleb Nevus Syndrome|Venous Malformation	Drug: Rapamycin	All	Child, Adult, Older Adult	Phase 4	20	Interventional	July 31, 2018	Peking Union Medical College Hospital, Chinese Academy of Medicine Sciences, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT03767660
61	NCT03761732	Islamic Trauma Healing: Feasibility Study	Recruiting	No Results Available	Post Traumatic Stress Disorder	Behavioral: Islamic Trauma Healing	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	20	Interventional	October 15, 2018	Borama Mosque, Borama, Somalia|Hargeisa Mosque, Hargeisa, Somalia	https://ClinicalTrials.gov/show/NCT03761732
62	NCT03753932	Impact of Fixed Dentures in Head and Neck Cancer (IMFDHAC)	Recruiting	No Results Available	Head and Neck Neoplasms|Dental Prosthesis|Dentures|Quality of Life	Device: Fixed prosthodontics	All	Child, Adult, Older Adult	Not Applicable	60	Interventional	March 1, 2013	Public Dental Health, Jönköping, Sweden	https://ClinicalTrials.gov/show/NCT03753932
63	NCT03753243	Neoadjuvant Pembrolizumab Plus Androgen Axis Blockade Prior to Prostatectomy for High Risk Localized Prostate Cancer	Recruiting	No Results Available	Prostate Cancer	Drug: Pembrolizumab|Drug: Enzalutamide	Male	18 Years and older   (Adult, Older Adult)	Phase 2	32	Interventional	December 3, 2018	VA Portland Healthcare System, Portland, Oregon, United States	https://ClinicalTrials.gov/show/NCT03753243
64	NCT03751878	Evaluating the Impact of Assessing During Peer Review the CONSORT Checklist Submitted by Authors	Recruiting	No Results Available	Peer Review, Publishing|Completeness of Reporting	Behavioral: Evaluation of reporting inconsistencies|Behavioral: Standard Peer Review.	All	Child, Adult, Older Adult	Not Applicable	24	Interventional	December 7, 2018	BMJ Open, London, United Kingdom	https://ClinicalTrials.gov/show/NCT03751878
65	NCT03749655	Physical Activity Promotion Added to Standard Care Pulmonary Rehabilitation and Cognitive Behavioural Therapy	Recruiting	No Results Available	Chronic Obstructive Pulmonary Disease	Behavioral: Physical Activity Promotion	All	40 Years to 75 Years   (Adult, Older Adult)	Not Applicable	40	Interventional	November 20, 2018	Newcastle upon Tyne NHS trust, Newcastle Upon Tyne, Tyne And Wear, United Kingdom	https://ClinicalTrials.gov/show/NCT03749655
66	NCT03748914	C-UCM and Cerebral Oxygenation and Perfusion	Recruiting	No Results Available	Preterm Infant|Term Infant|Transition	Other: Intervention Group|Other: Control Group	All	up to 15 Minutes   (Child)	Not Applicable	80	Interventional	November 21, 2018	Dep. of Pediatrics, Medical University of Graz, Graz, Styria, Austria	https://ClinicalTrials.gov/show/NCT03748914
67	NCT03747887	Enhancing IEPs of Children With ADHD Using Daily Report Cards	Recruiting	No Results Available	Attention Deficit Hyperactivity Disorder	Behavioral: Daily Report Card|Other: School as Usual	All	5 Years to 14 Years   (Child)	Not Applicable	216	Interventional	January 3, 2019	SUNY at Buffalo, Buffalo, New York, United States	https://ClinicalTrials.gov/show/NCT03747887
68	NCT03745209	Ultrasound-guided Peripheral IV vs. Standard Technique in Difficult Vascular Access Patients by ICU Nurses	Recruiting	No Results Available	Difficult IV Access	Device: Ultrasound	All	18 Years and older   (Adult, Older Adult)	Not Applicable	50	Interventional	January 21, 2019	Kingston General Hospital, Kingston, Ontario, Canada	https://ClinicalTrials.gov/show/NCT03745209
69	NCT03743480	Early Palliative Care and Hematological Cancer Patients	Recruiting	No Results Available	Hematologic Neoplasms	Other: early palliative care	All	18 Years and older   (Adult, Older Adult)	Not Applicable	60	Interventional	November 21, 2018	Arcispedale santa maria nuova-viale risorgimento 80, Reggio Emilia, Emilia Romagna, Italy|Viale Risorgimento 80, Reggio Emilia, Italy	https://ClinicalTrials.gov/show/NCT03743480
70	NCT03740659	Evaluation Of Aqueous Humor Of Levofloxacin-Dexamethasone Eye Drops And Of Its Components In Patients Undergoing Cataract Surgery	Recruiting	No Results Available	Cataract	Drug: Levofloxacin + Dexamethasone|Drug: Levofloxacin|Drug: Dexamethasone	All	40 Years and older   (Adult, Older Adult)	Phase 2	120	Interventional	September 4, 2018	ASST Santi Paolo e Carlo di Milano - P.O. San Paolo di Milano, Milano, MI, Italy|A.O.U. Pisana - P.O. di Cisanello, Pisa, PI, Italy	https://ClinicalTrials.gov/show/NCT03740659
71	NCT03740321	SRAE With Embospheres for Hemorrhoids.	Recruiting	No Results Available	Embolization|Hemorrhoids	Device: Embolization with tri-acryl gelatin (Embosphere) particles	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	50	Interventional	December 1, 2018	Eskisehir Osmangazi University, Faculty of Medicine, Department of Interventional Radiology, Eskişehir, Turkey	https://ClinicalTrials.gov/show/NCT03740321
72	NCT03739528	Levo-Dexa vs. Tobra+Dexa for Prevention and Treatment of Inflammation and Prevention of Infection in Cataract Surgery	Recruiting	No Results Available	Cataract	Drug: Levofloxacin + dexamethasone followed by dexamethasone|Drug: Tobramycin + Dexamethasone	All	40 Years and older   (Adult, Older Adult)	Phase 3	800	Interventional	September 3, 2018	A.O.U. Osp. Riuniti Umberto I - G.M. Lancisi - G. Salesi - Università degli Studi di Ancona, Ancona, AN, Italy|Ospedale della Murgia "Fabio Perinei" di Altamura, Altamura, BA, Italy|A.O.U. Policlinico Consorziale di Bari, Bari, BA, Italy|ASL Bari - Ospedale "Di Venere" - Carbonara di Bari, Bari, BA, Italy|Cliniche Gavazzeni S.p.A. - Humanitas Gavazzeni di Bergamo, Bergamo, BG, Italy|A.O.U. di Bologna - Policlinico S. Orsola-Malpighi di Bologna, Bologna, BO, Italy|Policlinico S. Orsola-Malpighi di Bologna, Bologna, BO, Italy|ASST degli Spedali Civili di Brescia - P.O. Spedali Civili di Brescia, Brescia, BS, Italy|ASST Franciacorta - P.O. di Chiari, Chiari, BS, Italy|P.O. Ospedale Clinicizzato SS. Annunziata di Chieti, Chieti, CH, Italy|Ospedale Valduce di Como, Como, CO, Italy|A.O.U. Policlinico Vittorio Emanuele - P.O. Gaspare Rodolico - Università degli Studi di Catania, Catania, CT, Italy|Policlinico G.B. Morgagni di Catania - Casa di Cura s.r.l., Catania, CT, Italy|A.O. Mater Domini di Catanzaro - Università degli Studi Magna Graecia di Catanzaro, Catanzaro, CZ, Italy|IRCCS Casa Sollievo della Sofferenza di San Giovanni Rotondo, San Giovanni Rotondo, FG, Italy|A.O.U. Careggi di Firenze, Firenze, FI, Italy|IRCCS Ospedale Policlinico San Martino di Genova, Genova, GE, Italy|Ospedale Policlinico San Martino - Università degli Studi di Genova, Genova, GE, Italy|Fatebenefratelli - Ospedale "Sacra Famiglia" di Erba, Erba, LC, Italy|Az. USL Toscana Nord Ovest - Ospedale della Versilia, Lido Di Camaiore, LU, Italy|AUSL Toscana Nord Ovest - P.O. San Luca di Lucca, San Filippo, LU, Italy|A.O.U. Policlinico "G. Martino" di Messina, Messina, ME, Italy|ASP di Messina - P.O. "Giuseppe Fogliani" di Milazzo, Milazzo, ME, Italy|ASST Ovest Milanese - Ospedale Civile di Legnano, Legnano, MI, Italy|IRCCS Ca' Granda Ospedale Maggiore Policlinico di Milano, Milano, MI, Italy|Gruppo Multimedica - Ospedale San Giuseppe di Milano, Milano, MI, Italy|Ospedale San Raffaele IRCCS S.r.l., Milano, MI, Italy|ASST Fatebenefratelli Sacco - Università degli Studi di Milano - Ospedale L. Sacco, Milano, MI, Italy|IRCCS Istituto Clinico Humanitas di Rozzano, Rozzano, MI, Italy|ASST di Melegnano e della Martesana - Ospedale di Vizzolo Predabissi, Vizzolo Predabissi, MI, Italy|A.O.U. Policlinico di Modena - Università degli Studi di Modena e Reggio Emilia, Modena, MO, Italy|Ospedale di Sassuolo, Sassuolo, MO, Italy|Centro Polispecialistico Monterosso di Carrara, Carrara, MS, Italy|A.O.U. Policlinico "P. Giaccone" di Palermo, Palermo, PA, Italy|A.O. "Ospedali Riuniti Villa Sofia-Cervello" di Palermo - P.O. "Villa Sofia" di Palermo, Palermo, PA, Italy|AUSL di Piacenza - Ospedale "Guglielmo da Saliceto" di Piacenza, Piacenza, PC, Italy|Az. ULSS 6 Euganea - Ospedali Riuniti Padova Sud - Ospedale Madre Teresa di Calcutta-Schiavonia, Monselice, PD), Italy|Az. ULSS 6 Euganea - Ospedale S. Antonio - Centro Oculistico San Paolo di Padova, Padova, PD, Italy|A.O. di Perugia - Ospedale S. Maria della Misericordia di Perugia, Perugia, PG, Italy|Fondazione IRCCS Policlinico S. Matteo - Università degli Studi di Pavia, Pavia, PV, Italy|Grande Ospedale Metropolitano Bianchi-Melacrino-Morelli di Reggio Calabria, Reggio Calabria, RC, Italy|Policlinico Universitario Campus Bio-medico di Roma, Roma, RM, Italy|Fondazione PTV Policlinico Tor Vergata, Roma, RM, Italy|A.O.U. Sant'Andrea di Roma, Roma, RM, Italy|IRCCS Fondazione G.B. Bietti di Roma, Roma, RM, Italy|ASL Roma 4 - Ospedale San Paolo di Civitavecchia, Civitavecchia, RN, Italy|Az. ULSS 5 Polesana - Ospedale "Santa Maria della Misericordia", Rovigo, RO, Italy|A.O.U Città della Salute e della Scienza di Torino - Ospedale Molinette, Torino, TO, Italy|Az. Sanitaria Universitaria Integrata di Trieste - Ospedali Riuniti di Trieste - Ospedale Maggiore, Trieste, TS, Italy|Az. ULSS 2 Marca Trevigiana - Ospedale di Treviso, Treviso, TV, Italy|Az. Sanitaria Universitaria Integrata di Udine - P.O. Universitario "Santa Maria della Misericordia" diUdine, Udine, UD, Italy|Az. ULSS 7 Pedemontana - Ospedale San Bassiano di Bassano del Grappa, Bassano Del Grappa, VI, Italy|Ospedale Sacro Cuore - Don Calabria di Negrar, Negrar, VR, Italy|A.O.U. Integrata di Verona - Ospedale Borgo Roma, Verona, VR, Italy|Az. Osp. di Rilievo Nazionale "A. Cardarelli" di Napoli, Napoli, Italy|A.O.U. "Maggiore della Carità" di Novara, Novara, Italy|A.O.U. Senese - Università degli Studi di Siena, Siena, Italy	https://ClinicalTrials.gov/show/NCT03739528
